City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,mossel bay,-34.1831,22.146,57.13,82,92,8.77,ZA,1731291211
266,novaya igirma,57.1334,103.9112,20.84,79,100,5.46,RU,1731291212
267,stawell,-37.05,142.7667,79.05,23,100,5.55,AU,1731291213
268,zahedan,29.4963,60.8629,44.51,49,0,4.61,IR,1731291214
269,esil,51.9556,66.4042,20.86,94,100,9.06,KZ,1731291215
270,belen,36.4891,36.2233,52.39,100,75,8.05,TR,1731291217
271,altinyayla,39.2725,36.751,39.24,55,96,6.49,TR,1731291218
272,manghit,42.1156,60.0597,44.08,67,4,6.46,UZ,1731291219
273,atafu village,-8.5421,-172.5159,81.86,75,7,8.43,TK,1731291220
274,zholymbet,51.7433,71.7122,26.47,97,100,10.13,KZ,1731291221
275,vorkuta,67.5,64.0,3.67,99,88,6.69,RU,1731291223
276,labasa,-16.4167,179.3833,78.96,80,100,7.2,FJ,1731291224
277,hamilton,39.1834,-84.5333,64.42,93,20,9.22,US,1731291225
278,merizo village,13.2658,144.6691,84.76,87,100,13.29,GU,1731291228
279,karratha,-20.7377,116.8463,92.39,24,5,11.48,AU,1731291229
280,ust-tsilma,65.441,52.1498,17.33,98,87,3.29,RU,1731291230
281,masuguru,-11.3667,38.4167,75.81,72,0,5.14,TZ,1731291233
282,al mutayrifi,25.4788,49.5576,66.54,50,19,6.06,SA,1731291234
283,dunedin,-45.8742,170.5036,56.8,58,27,5.99,NZ,1731291235
284,herval,-32.0236,-53.3956,56.97,94,0,7.47,BR,1731291236
285,vila franca do campo,37.7167,-25.4333,68.41,99,67,12.5,PT,1731291237
286,fortuna,40.5982,-124.1573,60.98,68,0,14.97,US,1731291239
287,sao sepe,-30.1606,-53.5653,64.17,79,0,7.34,BR,1731291240
288,thayetmyo,19.3167,95.1833,76.86,81,8,6.31,MM,1731291241
289,price,39.5994,-110.8107,38.46,56,0,6.91,US,1731291125
290,fisterra,42.9049,-9.2629,61.23,89,13,8.05,ES,1731291243
291,leua,48.2156,18.6071,37.04,77,0,3.0,SK,1731291245
292,mermoz boabab,14.7065,-17.4758,76.78,83,0,6.91,SN,1731291246
293,ko samui,9.5357,99.9357,80.98,80,100,12.73,TH,1731291247
294,minas de marcona,-15.2119,-75.1103,57.61,84,74,10.33,PE,1731291248
295,puerto el triunfo,13.2833,-88.55,77.81,86,76,4.36,SV,1731291250
296,pangai,-19.8,-174.35,77.11,78,75,21.85,TO,1731291251
